IMIĘ_DRUGIE,PŁEĆ,LICZBA_WYSTĄPIEŃ
KAMILIA,KOBIETA,120
LUISE,KOBIETA,120
JOLA,KOBIETA,120
STELA,KOBIETA,120
KIRA,KOBIETA,119
LUDGARDA,KOBIETA,118
ERWINA,KOBIETA,115
MELANIE,KOBIETA,114
WALTRAUD,KOBIETA,114
REBECCA,KOBIETA,114
MELISSA,KOBIETA,114
PAULINE,KOBIETA,114
ELLEN,KOBIETA,113
ZYGMUNTA,KOBIETA,113
YVONNE,KOBIETA,113
ADELINA,KOBIETA,113
MARGOTA,KOBIETA,113
EVE,KOBIETA,112
WIEŃCZYSŁAWA,KOBIETA,111
RAQUEL,KOBIETA,111
ISMENA,KOBIETA,111
AMY,KOBIETA,111
WALTRAUDA,KOBIETA,110
JULIE,KOBIETA,110
MARIIA,KOBIETA,110
IWETTA,KOBIETA,109
RAJMUNDA,KOBIETA,109
WISŁAWA,KOBIETA,109
SUSAN,KOBIETA,108
SILVIA,KOBIETA,107
VIRGINIA,KOBIETA,107
ATENA,KOBIETA,107
OLENA,KOBIETA,107
FLORIANA,KOBIETA,106
FERNANDA,KOBIETA,106
LORENA,KOBIETA,106
RAISA,KOBIETA,106
JASMINE,KOBIETA,105
MAKSYMILIANA,KOBIETA,105
AMBER,KOBIETA,105
CHLOE,KOBIETA,105
CHARLOTTA,KOBIETA,104
PETRA,KOBIETA,104
RENEE,KOBIETA,104
SUZANNE,KOBIETA,103
IRIS,KOBIETA,103
WITOLDA,KOBIETA,103
LUBOMIŁA,KOBIETA,102
SUSANA,KOBIETA,102
SIMONE,KOBIETA,102
ALBERTA,KOBIETA,101
BIRUTA,KOBIETA,101
BRIGITTE,KOBIETA,101
ZEFIRYNA,KOBIETA,101
RENA,KOBIETA,101
ELENI,KOBIETA,101
CHIARA,KOBIETA,101
TADEUSZA,KOBIETA,100
LINH,KOBIETA,100
LAILA,KOBIETA,100
ŻAKLIN,KOBIETA,100
EMILIE,KOBIETA,99
ELISE,KOBIETA,99
CORNELIA,KOBIETA,98
CARLA,KOBIETA,98
JESSIKA,KOBIETA,98
CHANTAL,KOBIETA,98
LEILA,KOBIETA,97
ANIA,KOBIETA,97
TINA,KOBIETA,97
LINA,KOBIETA,96
WITA,KOBIETA,96
NASTAZJA,KOBIETA,96
FRANZISKA,KOBIETA,95
SZCZĘSNA,KOBIETA,95
YAEL,KOBIETA,95
ASHLEY,KOBIETA,94
MIRONA,KOBIETA,93
GABRIELLE,KOBIETA,93
INGEBORG,KOBIETA,93
VIVIEN,KOBIETA,93
PALOMA,KOBIETA,93
BERNADETTE,KOBIETA,92
HENRIETA,KOBIETA,92
BETINA,KOBIETA,92
DOROTHY,KOBIETA,91
NELLA,KOBIETA,91
NELL,KOBIETA,91
DANIELLE,KOBIETA,90
DYONIZA,KOBIETA,89
ZOSIA,KOBIETA,89
MAI,KOBIETA,89
DOROTHEA,KOBIETA,89
ELIGIA,KOBIETA,88
BERNADYNA,KOBIETA,88
LOTTA,KOBIETA,88
MARION,KOBIETA,88
HERMENEGILDA,KOBIETA,88
SOL,KOBIETA,88
EVELYN,KOBIETA,87
KLARYSA,KOBIETA,87
INA,KOBIETA,87
ELFRIEDA,KOBIETA,87
IGNACJA,KOBIETA,86
IWETA,KOBIETA,86
SAMIRA,KOBIETA,86
KATHLEEN,KOBIETA,86
TOMIRA,KOBIETA,86
TELIMENA,KOBIETA,85
IWA,KOBIETA,85
VALERIA,KOBIETA,85
RENATE,KOBIETA,84
MARIANNE,KOBIETA,84
MAURA,KOBIETA,84
MARIAM,KOBIETA,84
ZELMA,KOBIETA,84
AVA,KOBIETA,84
ELFRIEDE,KOBIETA,84
JUTTA,KOBIETA,84
DINA,KOBIETA,83
NATASHA,KOBIETA,83
JEANNE,KOBIETA,83
GEORGINA,KOBIETA,83
KIM,KOBIETA,82
SYLWANA,KOBIETA,82
KAMA,KOBIETA,82
SUSANNE,KOBIETA,82
NADINE,KOBIETA,82
KATRIN,KOBIETA,82
CHELSEA,KOBIETA,82
KASIA,KOBIETA,81
MEGAN,KOBIETA,81
KATARINA,KOBIETA,81
INEZA,KOBIETA,80
HOPE,KOBIETA,80
BRIGIDA,KOBIETA,80
CHRISTA,KOBIETA,80
NIKOLETA,KOBIETA,80
AGRYPINA,KOBIETA,80
HORTENSJA,KOBIETA,79
STEFANIE,KOBIETA,79
STANISLAWA,KOBIETA,79
VIVIANA,KOBIETA,79
MARIANA,KOBIETA,79
LYDIA,KOBIETA,79
SCARLETT,KOBIETA,78
EDWINA,KOBIETA,78
HIACENTA,KOBIETA,78
GRAZYNA,KOBIETA,76
GRACIELA,KOBIETA,76
LORETTA,KOBIETA,76
WITOSŁAWA,KOBIETA,76
